"Country","HDI","HumDev_Categ"
"Norway",0.949,"VHigh"
"Australia",0.939,"VHigh"
"Switzerland",0.939,"VHigh"
"Germany",0.926,"VHigh"
"Denmark",0.925,"VHigh"
"Singapore",0.925,"VHigh"
"Netherlands",0.924,"VHigh"
"Ireland",0.923,"VHigh"
"Iceland",0.921,"VHigh"
"Canada",0.92,"VHigh"
"United States",0.92,"VHigh"
"Hong Kong",0.917,"VHigh"
"New Zealand",0.915,"VHigh"
"Sweden",0.913,"VHigh"
"Liechtenstein",0.912,"VHigh"
"United Kingdom",0.909,"VHigh"
"Japan",0.903,"VHigh"
"South Korea",0.901,"VHigh"
"Israel",0.899,"VHigh"
"Luxembourg",0.898,"VHigh"
"France",0.897,"VHigh"
"Belgium",0.896,"VHigh"
"Finland",0.895,"VHigh"
"Austria",0.893,"VHigh"
"Slovenia",0.89,"VHigh"
"Italy",0.887,"VHigh"
"Spain",0.884,"VHigh"
"Czech Republic",0.878,"VHigh"
"Greece",0.866,"VHigh"
"Brunei",0.865,"VHigh"
"Estonia",0.865,"VHigh"
"Andorra",0.858,"VHigh"
"Cyprus",0.856,"VHigh"
"Malta",0.856,"VHigh"
"Qatar",0.856,"VHigh"
"Poland",0.855,"VHigh"
"Lithuania",0.848,"VHigh"
"Chile",0.847,"VHigh"
"Saudi Arabia",0.847,"VHigh"
"Slovakia",0.845,"VHigh"
"Portugal",0.843,"VHigh"
"United Arab Emirates",0.84,"VHigh"
"Hungary",0.836,"VHigh"
"Latvia",0.83,"VHigh"
"Argentina",0.827,"VHigh"
"Croatia",0.827,"VHigh"
"Bahrain",0.824,"VHigh"
"Montenegro",0.807,"VHigh"
"Russia",0.804,"VHigh"
"Romania",0.802,"VHigh"
"Kuwait",0.8,"VHigh"
"Belarus",0.796,"High"
"Oman",0.796,"High"
"Barbados",0.795,"High"
"Uruguay",0.795,"High"
"Bulgaria",0.794,"High"
"Kazakhstan",0.794,"High"
"Bahamas",0.792,"High"
"Malaysia",0.789,"High"
"Palau",0.788,"High"
"Panama",0.788,"High"
"Antigua and Barbuda",0.786,"High"
"Seychelles",0.782,"High"
"Mauritius",0.781,"High"
"Trinidad and Tobago",0.78,"High"
"Costa Rica",0.776,"High"
"Serbia",0.776,"High"
"Cuba",0.775,"High"
"Iran",0.774,"High"
"Georgia",0.769,"High"
"Turkey",0.767,"High"
"Venezuela",0.767,"High"
"Sri Lanka",0.766,"High"
"Saint Kitts and Nevis",0.765,"High"
"Albania",0.764,"High"
"Lebanon",0.763,"High"
"Mexico",0.762,"High"
"Azerbaijan",0.759,"High"
"Brazil",0.754,"High"
"Grenada",0.754,"High"
"Bosnia and Herzegovina",0.75,"High"
"Macedonia",0.748,"High"
"Algeria",0.745,"High"
"Armenia",0.743,"High"
"Ukraine",0.743,"High"
"Jordan",0.741,"High"
"Peru",0.74,"High"
"Thailand",0.74,"High"
"Ecuador",0.739,"High"
"China",0.738,"High"
"Fiji",0.736,"High"
"Mongolia",0.735,"High"
"Saint Lucia",0.735,"High"
"Jamaica",0.73,"High"
"Colombia",0.727,"High"
"Dominica",0.726,"High"
"Suriname",0.725,"High"
"Tunisia",0.725,"High"
"Dominican Republic",0.722,"High"
"Saint Vincent and the Grenadines",0.722,"High"
"Tonga",0.721,"High"
"World",0.717,"High"
"Libya",0.716,"High"
"Belize",0.706,"High"
"Samoa",0.704,"High"
"Maldives",0.701,"High"
"Uzbekistan",0.701,"High"
"Moldova",0.699,"Med"
"Botswana",0.698,"Med"
"Gabon",0.697,"Med"
"Paraguay",0.693,"Med"
"Egypt",0.691,"Med"
"Turkmenistan",0.691,"Med"
"Indonesia",0.689,"Med"
"Palestine",0.684,"Med"
"Vietnam",0.683,"Med"
"Philippines",0.682,"Med"
"El Salvador",0.68,"Med"
"Bolivia",0.674,"Med"
"South Africa",0.666,"Med"
"Kyrgyzstan",0.664,"Med"
"Iraq",0.649,"Med"
"Cape Verde",0.648,"Med"
"Morocco",0.647,"Med"
"Nicaragua",0.645,"Med"
"Guatemala",0.64,"Med"
"Namibia",0.64,"Med"
"Guyana",0.638,"Med"
"Micronesia",0.638,"Med"
"Tajikistan",0.627,"Med"
"Honduras",0.625,"Med"
"India",0.624,"Med"
"Bhutan",0.607,"Med"
"Timor Leste",0.605,"Med"
"Vanuatu",0.597,"Med"
"Congo, Republic of the",0.592,"Med"
"Equatorial Guinea",0.592,"Med"
"Kiribati",0.588,"Med"
"Laos",0.586,"Med"
"Bangladesh",0.579,"Med"
"Ghana",0.579,"Med"
"Zambia",0.579,"Med"
"São Tomé and Príncipe",0.574,"Med"
"Cambodia",0.563,"Med"
"Nepal",0.558,"Med"
"Myanmar",0.556,"Med"
"Kenya",0.555,"Med"
"Pakistan",0.55,"Med"
"Swaziland",0.541,"Low"
"Syria",0.536,"Low"
"Angola",0.533,"Low"
"Tanzania",0.531,"Low"
"Nigeria",0.527,"Low"
"Cameroon",0.518,"Low"
"Papua New Guinea",0.516,"Low"
"Zimbabwe",0.516,"Low"
"Solomon Islands",0.515,"Low"
"Mauritania",0.513,"Low"
"Madagascar",0.512,"Low"
"Rwanda",0.498,"Low"
"Comoros",0.497,"Low"
"Lesotho",0.497,"Low"
"Senegal",0.494,"Low"
"Haiti",0.493,"Low"
"Uganda",0.493,"Low"
"Sudan",0.49,"Low"
"Togo",0.487,"Low"
"Benin",0.485,"Low"
"Yemen",0.482,"Low"
"Afghanistan",0.479,"Low"
"Malawi",0.476,"Low"
"Côte d'Ivoire",0.474,"Low"
"Djibouti",0.473,"Low"
"Gambia",0.452,"Low"
"Ethiopia",0.448,"Low"
"Mali",0.442,"Low"
"Congo, Democratic Republic of the",0.435,"Low"
"Liberia",0.427,"Low"
"Guinea Bissau",0.424,"Low"
"Eritrea",0.42,"Low"
"Sierra Leone",0.42,"Low"
"Mozambique",0.418,"Low"
"South Sudan",0.418,"Low"
"Guinea",0.414,"Low"
"Burundi",0.404,"Low"
"Burkina Faso",0.402,"Low"
"Chad",0.396,"Low"
"Niger",0.353,"Low"
"Central African Republic",0.352,"Low"
